context,distance,strategy,overlap_with_golddigger,fit_mean,fit_min,below_floor,novelty_mean,redundancy,role_dup
709dc7037600:0,50,inverse,0.3333333333333333,0.6791956987917892,0.4487988293415082,0.125,0.49977064220183487,0.35716700553894043,0.125
709dc7037600:0,50,band_nofit,0.7777777777777778,0.6626335334482208,0.4487988293415082,0.125,0.49833715596330275,0.2895515263080597,0.125
709dc7037600:0,50,golddigger,1.0,0.6955782633139975,0.5779057684572722,0.0,0.49850917431192665,0.3000588119029999,0.0
709dc7037600:0,70,random,0.0,0.6360004933717127,0.43683247875083103,0.25,0.41278669724770645,0.3262341618537903,0.25
709dc7037600:0,70,metadata,0.0,0.7418304477458726,0.7409295595060169,0.0,0.45877293577981654,0.7137680053710938,0.0
709dc7037600:0,70,nearest,0.0,0.4524249031652209,0.4444958546045588,0.75,0.0020642201834862386,0.8505764007568359,1.0
709dc7037600:0,70,inverse,0.45454545454545453,0.7080999142150364,0.679612838602903,0.0,0.6997706422018348,0.28340572118759155,0.0
709dc7037600:0,70,band_nofit,1.0,0.6904951957893918,0.6025434443791213,0.0,0.6989678899082569,0.22965338826179504,0.0
709dc7037600:0,70,golddigger,1.0,0.6904951957893918,0.6025434443791213,0.0,0.6989678899082569,0.22965338826179504,0.0
709dc7037600:0,90,random,0.0,0.6360004933717127,0.43683247875083103,0.25,0.41278669724770645,0.3262341618537903,0.25
709dc7037600:0,90,metadata,0.06666666666666667,0.7418304477458726,0.7409295595060169,0.0,0.45877293577981654,0.7137680053710938,0.0
709dc7037600:0,90,nearest,0.0,0.4524249031652209,0.4444958546045588,0.75,0.0020642201834862386,0.8505764007568359,1.0
709dc7037600:0,90,inverse,0.14285714285714285,0.6707730977837915,0.5961950599460366,0.0,0.899770642201835,0.4153638184070587,0.0
709dc7037600:0,90,band_nofit,1.0,0.7135700442668113,0.6808020828653552,0.0,0.9011467889908258,0.14695820212364197,0.0
709dc7037600:0,90,golddigger,1.0,0.7135700442668113,0.6808020828653552,0.0,0.9011467889908258,0.14695820212364197,0.0
4a43447c8188:0,10,random,0.0,0.5887426893943247,0.5528083951676656,0.0,0.34925458715596336,0.4234265387058258,nan
4a43447c8188:0,10,metadata,0.0,0.6560732644296439,0.6520188988012124,0.0,0.010321100917431193,0.8171623945236206,nan
4a43447c8188:0,10,nearest,0.0,0.5594085458390772,0.5022232091812436,0.0,0.0020642201834862386,0.9631904363632202,nan
4a43447c8188:0,10,inverse,0.3333333333333333,0.5842459231850001,0.5204247125940332,0.0,0.10022935779816515,0.384113609790802,nan
4a43447c8188:0,10,band_nofit,1.0,0.5913888125376263,0.5204247125940332,0.0,0.10022935779816514,0.2689310908317566,nan
4a43447c8188:0,10,golddigger,1.0,0.5913888125376263,0.5204247125940332,0.0,0.10022935779816514,0.2689310908317566,nan
4a43447c8188:0,30,random,0.0,0.5887426893943247,0.5528083951676656,0.0,0.34925458715596336,0.4234265387058258,nan
4a43447c8188:0,30,metadata,0.0,0.6560732644296439,0.6520188988012124,0.0,0.010321100917431193,0.8171623945236206,nan
4a43447c8188:0,30,nearest,0.0,0.5594085458390772,0.5022232091812436,0.0,0.0020642201834862386,0.9631904363632202,nan
4a43447c8188:0,30,inverse,0.3333333333333333,0.5983125814050364,0.585841372864484,0.0,0.2997706422018349,0.30192631483078003,nan
4a43447c8188:0,30,band_nofit,1.0,0.5964678991848454,0.5797344196612944,0.0,0.3025229357798166,0.23295311629772186,nan
4a43447c8188:0,30,golddigger,1.0,0.5964678991848454,0.5797344196612944,0.0,0.3025229357798166,0.23295311629772186,nan
4a43447c8188:0,50,random,0.0,0.5887426893943247,0.5528083951676656,0.0,0.34925458715596336,0.4234265387058258,nan
4a43447c8188:0,50,metadata,0.0,0.6560732644296439,0.6520188988012124,0.0,0.010321100917431193,0.8171623945236206,nan
